,id,movie keywords,movie budget,movie genre,movie original language,movie release date,movie revenue,movie runtime,movie spoken languages,vote_average,movie title,movie rating,book authors,book rating,book pages,book publisher,book ratings sum,movie return
30,40885,"[{'id': 233, 'name': 'japan'}, {'id': 818, 'name': 'based on novel'}, {'id': 3779, 'name': 'air force'}, {'id': 162701, 'name': 'racial prejudice'}]",,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,1957-12-05,,147.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ja', 'name': '日本語'}]",5.4,Sayonara,3.38,James A. Michener,3.81,208,Fawcett,15982,
31,2637,"[{'id': 818, 'name': 'based on novel'}, {'id': 1415, 'name': 'small town'}, {'id': 1566, 'name': 'dream'}, {'id': 2669, 'name': 'motel'}, {'id': 3298, 'name': 'hallucination'}, {'id': 3450, 'name': 'bridge'}, {'id': 4862, 'name': 'alien life-form'}, {'id': 4949, 'name': 'warning'}, {'id': 6622, 'name': 'tumor'}, {'id': 8232, 'name': 'west virginia'}, {'id': 9955, 'name': 'urban legend'}, {'id': 10170, 'name': 'premonition'}, {'id': 10904, 'name': 'telephone call'}, {'id': 11612, 'name': 'hospital'}, {'id': 12193, 'name': 'reporter'}, {'id': 14742, 'name': 'psychic'}, {'id': 15198, 'name': 'car wreck'}, {'id': 208397, 'name': 'death of wife'}, {'id': 230413, 'name': 'mothman'}, {'id': 238137, 'name': 'mysterious events'}, {'id': 238138, 'name': 'chemical plant'}]",32000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",en,2002-01-25,55157539.0,119.0,"[{'iso_639_1': 'en', 'name': 'English'}]",6.1,The Mothman Prophecies,3.09,John A. Keel,3.54,352,Hodder & Stoughton,196135,1.72367309375
32,10229,"[{'id': 818, 'name': 'based on novel'}, {'id': 4333, 'name': 'theatre group'}, {'id': 5922, 'name': 'north carolina'}, {'id': 6034, 'name': 'theatre milieu'}, {'id': 6270, 'name': 'high school'}, {'id': 10163, 'name': 'cancer'}, {'id': 10683, 'name': 'coming of age'}, {'id': 10703, 'name': 'tragic love'}, {'id': 13130, 'name': 'teenager'}, {'id': 165086, 'name': 'star crossed lovers'}]",11000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,2002-01-25,41227069.0,101.0,"[{'iso_639_1': 'en', 'name': 'English'}]",7.5,A Walk to Remember,3.43,Nicholas Sparks,4.17,240,Grand Central Publishing,78510,3.7479153636363636
33,12227,"[{'id': 818, 'name': 'based on novel'}, {'id': 1321, 'name': 'gold'}, {'id': 1454, 'name': 'treasure'}, {'id': 1909, 'name': 'coffin'}, {'id': 2526, 'name': 'human animal relationship'}, {'id': 6054, 'name': 'friendship'}, {'id': 9880, 'name': 'alaska'}, {'id': 10950, 'name': 'shootout'}, {'id': 15162, 'name': 'dog'}, {'id': 162726, 'name': 'prospector'}, {'id': 180808, 'name': 'klondike'}, {'id': 189390, 'name': 'yukon'}, {'id': 189391, 'name': 'boy dog relationship'}, {'id': 189392, 'name': 'gold miner'}]",14000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",en,1991-01-18,34793160.0,107.0,"[{'iso_639_1': 'en', 'name': 'English'}]",6.5,White Fang,3.17,Jack London,3.98,252,Scholastic Paperbacks,6214,2.4852257142857144
34,13768,"[{'id': 399, 'name': 'fountain of youth'}, {'id': 818, 'name': 'based on novel'}, {'id': 1328, 'name': 'secret'}, {'id': 4978, 'name': 'immortality'}, {'id': 5774, 'name': 'forest'}, {'id': 9720, 'name': 'woods'}, {'id': 10791, 'name': 'teenage crush'}, {'id': 10809, 'name': 'teenage girl'}, {'id': 18068, 'name': 'teenage boy'}, {'id': 170587, 'name': 'mysterious stranger'}]",15000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}, {'id': 878, 'name': 'Science Fiction'}]",en,2002-10-11,19158074.0,90.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",6.4,Tuck Everlasting,3.21,Natalie Babbitt,3.87,139,Farrar Straus Giroux,55269,1.2772049333333333
35,69014,"[{'id': 255, 'name': 'male nudity'}, {'id': 293, 'name': 'female nudity'}, {'id': 818, 'name': 'based on novel'}, {'id': 966, 'name': 'beach'}, {'id': 1010, 'name': 'bar'}, {'id': 1252, 'name': 'suicide attempt'}, {'id': 1667, 'name': 'pimp'}, {'id': 1824, 'name': 'self-destruction'}, {'id': 3260, 'name': 'masochism'}, {'id': 3458, 'name': 'bartender'}, {'id': 4470, 'name': 'punk'}, {'id': 5638, 'name': 'arrest'}, {'id': 5933, 'name': 'poet'}, {'id': 8646, 'name': 'ronald reagan'}, {'id': 9141, 'name': 'belt'}, {'id': 9887, 'name': 'surrealism'}, {'id': 10183, 'name': 'independent film'}, {'id': 10430, 'name': 'seagull'}, {'id': 12670, 'name': 'los angeles'}, {'id': 33457, 'name': 'alcoholic'}, {'id': 33573, 'name': 'banana'}, {'id': 34030, 'name': 'typewriter'}, {'id': 148534, 'name': 'cunnilingus'}, {'id': 157154, 'name': 'psychotherapy'}, {'id': 157791, 'name': 'self mutilation'}, {'id': 163758, 'name': 'ex-husband ex-wife relationship'}, {'id': 165314, 'name': 'skid row'}, {'id': 170737, 'name': 'bunk bed'}, {'id': 181514, 'name': 'deadbeat dad'}, {'id': 188991, 'name': 'drunkenness'}, {'id': 189428, 'name': 'phallic symbol'}, {'id': 207769, 'name': 'grotesque'}, {'id': 212779, 'name': 'used car lot'}, {'id': 212780, 'name': 'wino'}, {'id': 212781, 'name': 'fur stole'}, {'id': 212784, 'name': 'binge drinking'}, {'id': 212785, 'name': 'wine drinking'}, {'id': 212787, 'name': 'sadomasochist'}, {'id': 212788, 'name': 'greyhound bus'}, {'id': 212793, 'name': 'domestic dispute'}]",,"[{'id': 18, 'name': 'Drama'}]",it,1981-09-11,,101.0,[],6.6,Tales of Ordinary Madness,3.15,Charles Bukowski,3.92,238,City Lights Publishers,28950,
36,6646,"[{'id': 818, 'name': 'based on novel'}, {'id': 1454, 'name': 'treasure'}, {'id': 2041, 'name': 'island'}, {'id': 4418, 'name': 'pirate gang'}, {'id': 6956, 'name': 'treasure hunt'}, {'id': 11088, 'name': 'treasure map'}, {'id': 12988, 'name': 'pirate'}, {'id': 41599, 'name': 'sailor'}, {'id': 165369, 'name': 'sailing ship'}]",,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}]",en,1950-07-18,,96.0,"[{'iso_639_1': 'en', 'name': 'English'}]",6.9,Treasure Island,3.55,Robert Louis Stevenson,3.83,311,Kingfisher,1294,
37,20815,"[{'id': 570, 'name': 'rape'}, {'id': 818, 'name': 'based on novel'}, {'id': 1329, 'name': 'canada'}, {'id': 2340, 'name': 'paranoia'}, {'id': 2831, 'name': 'slavery'}, {'id': 2964, 'name': 'future'}, {'id': 4411, 'name': 'sexism'}, {'id': 4565, 'name': 'dystopia'}, {'id': 7638, 'name': 'surrogate mother'}, {'id': 10183, 'name': 'independent film'}, {'id': 10685, 'name': 'escape'}, {'id': 11196, 'name': 'rebellion'}, {'id': 11718, 'name': 'feminist'}, {'id': 161166, 'name': 'misogyny'}, {'id': 163045, 'name': 'impregnation'}, {'id': 164810, 'name': 'religious fundamentalism'}, {'id': 165259, 'name': 'political unrest'}, {'id': 178712, 'name': 'totalitarianism'}, {'id': 190334, 'name': 'theocracy'}]",,"[{'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]",en,1990-03-09,,108.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",5.8,The Handmaid's Tale,3.18,Margaret Atwood/Valerie Martin,4.11,350,Everyman's Library,205,
38,43436,"[{'id': 818, 'name': 'based on novel'}, {'id': 1700, 'name': 'massachusetts'}, {'id': 9914, 'name': 'slice of life'}, {'id': 156928, 'name': 'tomboy'}, {'id': 207416, 'name': 'concord'}]",,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",en,1949-04-01,,121.0,"[{'iso_639_1': 'en', 'name': 'English'}]",7.6,Little Women,3.52,Louisa May Alcott,4.07,449,Signet Classics,330008,
39,70881,"[{'id': 818, 'name': 'based on novel'}, {'id': 2139, 'name': 'russia'}, {'id': 6038, 'name': 'marriage'}, {'id': 9673, 'name': 'love'}, {'id': 13008, 'name': 'train'}]",1152000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,1935-08-30,1439000.0,95.0,"[{'iso_639_1': 'en', 'name': 'English'}]",6.6,Anna Karenina,3.54,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,838,Penguin Classics,35044,1.2491319444444444
