,id,movie keywords,movie budget,movie genre,movie original language,movie release date,movie revenue,movie runtime,movie spoken languages,vote_average,movie title,movie rating,book authors,book rating,book pages,book ratings count,book publisher,book ratings sum,movie return
18,24808,"[{'id': 291, 'name': 'circus'}, {'id': 616, 'name': 'witch'}, {'id': 818, 'name': 'based on novel'}, {'id': 952, 'name': 'lightning'}, {'id': 1566, 'name': 'dream'}, {'id': 2158, 'name': 'maze'}, {'id': 2857, 'name': 'elephant'}, {'id': 3199, 'name': 'clown'}, {'id': 3473, 'name': 'carnival'}, {'id': 3986, 'name': 'spider'}, {'id': 4252, 'name': 'black magic'}, {'id': 5202, 'name': 'boy'}, {'id': 11181, 'name': 'decapitation'}, {'id': 14527, 'name': 'storm'}, {'id': 14792, 'name': 'tarantula'}, {'id': 33505, 'name': 'gothic'}, {'id': 163075, 'name': 'sideshow'}, {'id': 166109, 'name': 'child murder'}, {'id': 178883, 'name': 'autumn'}, {'id': 230951, 'name': 'lightning rod'}]",19000000.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",en,1983-04-29,5656087.0,95.0,"[{'iso_639_1': 'en', 'name': 'English'}]",6.6,Something Wicked This Way Comes,3.39,Ray Bradbury,3.94,293,834,Bookspan,5470,0.2976887894736842
19,10489,"[{'id': 818, 'name': 'based on novel'}, {'id': 3300, 'name': 'cadillac'}, {'id': 8874, 'name': ""st. bernard's dog""}, {'id': 9862, 'name': 'dam'}, {'id': 10471, 'name': 'cult favorite'}, {'id': 13092, 'name': 'corpse'}, {'id': 18064, 'name': 'singing in a car'}, {'id': 158303, 'name': 'rabies'}, {'id': 158307, 'name': 'rabid dog'}, {'id': 158317, 'name': 'rabbit hole'}, {'id': 199236, 'name': 'mad dog'}]",5000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",en,1983-08-10,21200000.0,91.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'hu', 'name': 'Magyar'}]",5.7,Cujo,2.76,Stephen King,3.71,432,197993,Plaza y Janés,1045,4.24
20,138,"[{'id': 272, 'name': 'transylvania'}, {'id': 818, 'name': 'based on novel'}, {'id': 1299, 'name': 'monster'}, {'id': 3098, 'name': 'castle'}, {'id': 3133, 'name': 'vampire'}, {'id': 3633, 'name': 'dracula'}, {'id': 3986, 'name': 'spider'}, {'id': 6932, 'name': 'count'}, {'id': 10181, 'name': 'based on play or musical'}, {'id': 10327, 'name': 'undead'}, {'id': 10482, 'name': 'sanitarium'}, {'id': 155489, 'name': 'classic horror'}, {'id': 193227, 'name': 'lunatic'}]",355000.0,"[{'id': 27, 'name': 'Horror'}]",en,1931-02-12,1012189.0,72.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'hu', 'name': 'Magyar'}]",7.2,Dracula,3.69,Bram Stoker/Jan Needle/Gary Blythe,3.99,336,73,Walker Books Ltd,197993,2.8512366197183097
21,10349,"[{'id': 798, 'name': 'sheriff'}, {'id': 818, 'name': 'based on novel'}, {'id': 1936, 'name': 'blackmail'}, {'id': 3096, 'name': 'book'}, {'id': 3125, 'name': 'razor'}, {'id': 8802, 'name': 'pseudonym'}, {'id': 9181, 'name': 'alter ego'}, {'id': 9927, 'name': 'maine'}, {'id': 10818, 'name': 'author'}, {'id': 14512, 'name': 'new york city'}, {'id': 18035, 'name': 'family'}, {'id': 166512, 'name': 'graveyard'}, {'id': 183515, 'name': 'high toned'}, {'id': 188989, 'name': 'supernatural power'}]",15000000.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 27, 'name': 'Horror'}]",en,1993-04-23,10611160.0,122.0,"[{'iso_639_1': 'en', 'name': 'English'}]",5.4,The Dark Half,2.8,Stephen King,3.77,469,110131,New English Library,2433,0.7074106666666666
23,497,"[{'id': 531, 'name': 'southern usa'}, {'id': 577, 'name': 'black people'}, {'id': 791, 'name': 'mentally disabled'}, {'id': 818, 'name': 'based on novel'}, {'id': 2499, 'name': 'heal'}, {'id': 2501, 'name': 'death row'}, {'id': 2881, 'name': 'jail guard'}, {'id': 5571, 'name': 'great depression'}, {'id': 9774, 'name': 'prison guard'}, {'id': 11263, 'name': 'electric chair'}, {'id': 156597, 'name': 'magic realism'}, {'id': 167696, 'name': 'healing'}, {'id': 180162, 'name': 'death row inmate'}, {'id': 214548, 'name': '1930s'}]",60000000.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",en,1999-12-10,284600000.0,189.0,"[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'en', 'name': 'English'}]",8.2,The Green Mile,4.02,Stephen King,4.44,592,207869,Penguin Signet,11981,4.743333333333333
26,1359,"[{'id': 818, 'name': 'based on novel'}, {'id': 5636, 'name': 'wall street'}, {'id': 6259, 'name': 'psychopath'}, {'id': 174075, 'name': 'white collar'}, {'id': 174076, 'name': 'harvard business school'}, {'id': 174085, 'name': 'child of divorce'}, {'id': 174089, 'name': 'unreliable narrator'}, {'id': 187056, 'name': 'woman director'}, {'id': 217076, 'name': 'voice imitation'}]",7000000.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",en,2000-04-13,34266564.0,102.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}, {'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}]",7.3,American Psycho,3.57,Bret Easton Ellis,3.82,399,844,Picador,333332,4.895223428571429
28,10339,"[{'id': 818, 'name': 'based on novel'}, {'id': 1316, 'name': 'captain'}, {'id': 1422, 'name': 'boat'}, {'id': 1523, 'name': 'obsession'}, {'id': 2580, 'name': 'shipwreck'}, {'id': 4327, 'name': 'stroke of fate'}, {'id': 4676, 'name': 'whale'}, {'id': 7240, 'name': 'walrus'}, {'id': 9748, 'name': 'revenge'}]",4500000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",en,1956-06-27,10400000.0,116.0,"[{'iso_639_1': 'en', 'name': 'English'}]",6.9,Moby Dick,3.58,Herman Melville/William Hootkins,3.5,25,67,Naxos Audiobooks,984,2.311111111111111
31,2637,"[{'id': 818, 'name': 'based on novel'}, {'id': 1415, 'name': 'small town'}, {'id': 1566, 'name': 'dream'}, {'id': 2669, 'name': 'motel'}, {'id': 3298, 'name': 'hallucination'}, {'id': 3450, 'name': 'bridge'}, {'id': 4862, 'name': 'alien life-form'}, {'id': 4949, 'name': 'warning'}, {'id': 6622, 'name': 'tumor'}, {'id': 8232, 'name': 'west virginia'}, {'id': 9955, 'name': 'urban legend'}, {'id': 10170, 'name': 'premonition'}, {'id': 10904, 'name': 'telephone call'}, {'id': 11612, 'name': 'hospital'}, {'id': 12193, 'name': 'reporter'}, {'id': 14742, 'name': 'psychic'}, {'id': 15198, 'name': 'car wreck'}, {'id': 208397, 'name': 'death of wife'}, {'id': 230413, 'name': 'mothman'}, {'id': 238137, 'name': 'mysterious events'}, {'id': 238138, 'name': 'chemical plant'}]",32000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",en,2002-01-25,55157539.0,119.0,"[{'iso_639_1': 'en', 'name': 'English'}]",6.1,The Mothman Prophecies,3.09,John A. Keel,3.54,352,117,Hodder & Stoughton,196135,1.72367309375
32,10229,"[{'id': 818, 'name': 'based on novel'}, {'id': 4333, 'name': 'theatre group'}, {'id': 5922, 'name': 'north carolina'}, {'id': 6034, 'name': 'theatre milieu'}, {'id': 6270, 'name': 'high school'}, {'id': 10163, 'name': 'cancer'}, {'id': 10683, 'name': 'coming of age'}, {'id': 10703, 'name': 'tragic love'}, {'id': 13130, 'name': 'teenager'}, {'id': 165086, 'name': 'star crossed lovers'}]",11000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,2002-01-25,41227069.0,101.0,"[{'iso_639_1': 'en', 'name': 'English'}]",7.5,A Walk to Remember,3.43,Nicholas Sparks,4.17,240,555995,Grand Central Publishing,78510,3.7479153636363636
33,12227,"[{'id': 818, 'name': 'based on novel'}, {'id': 1321, 'name': 'gold'}, {'id': 1454, 'name': 'treasure'}, {'id': 1909, 'name': 'coffin'}, {'id': 2526, 'name': 'human animal relationship'}, {'id': 6054, 'name': 'friendship'}, {'id': 9880, 'name': 'alaska'}, {'id': 10950, 'name': 'shootout'}, {'id': 15162, 'name': 'dog'}, {'id': 162726, 'name': 'prospector'}, {'id': 180808, 'name': 'klondike'}, {'id': 189390, 'name': 'yukon'}, {'id': 189391, 'name': 'boy dog relationship'}, {'id': 189392, 'name': 'gold miner'}]",14000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",en,1991-01-18,34793160.0,107.0,"[{'iso_639_1': 'en', 'name': 'English'}]",6.5,White Fang,3.17,Jack London,3.98,252,119589,Scholastic Paperbacks,6214,2.4852257142857144
34,13768,"[{'id': 399, 'name': 'fountain of youth'}, {'id': 818, 'name': 'based on novel'}, {'id': 1328, 'name': 'secret'}, {'id': 4978, 'name': 'immortality'}, {'id': 5774, 'name': 'forest'}, {'id': 9720, 'name': 'woods'}, {'id': 10791, 'name': 'teenage crush'}, {'id': 10809, 'name': 'teenage girl'}, {'id': 18068, 'name': 'teenage boy'}, {'id': 170587, 'name': 'mysterious stranger'}]",15000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}, {'id': 878, 'name': 'Science Fiction'}]",en,2002-10-11,19158074.0,90.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",6.4,Tuck Everlasting,3.21,Natalie Babbitt,3.87,139,1538,Farrar Straus Giroux,55269,1.2772049333333333
39,70881,"[{'id': 818, 'name': 'based on novel'}, {'id': 2139, 'name': 'russia'}, {'id': 6038, 'name': 'marriage'}, {'id': 9673, 'name': 'love'}, {'id': 13008, 'name': 'train'}]",1152000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,1935-08-30,1439000.0,95.0,"[{'iso_639_1': 'en', 'name': 'English'}]",6.6,Anna Karenina,3.54,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,838,16643,Penguin Classics,35044,1.2491319444444444
43,18923,"[{'id': 237, 'name': 'gay'}, {'id': 740, 'name': 'aids'}, {'id': 818, 'name': 'based on novel'}, {'id': 11130, 'name': 'art house'}, {'id': 46959, 'name': 'tantrum'}, {'id': 154937, 'name': 'bisexual'}, {'id': 158718, 'name': 'lgbt'}]",6500000.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",en,2004-07-23,1548955.0,96.0,"[{'iso_639_1': 'en', 'name': 'English'}]",6.8,A Home at the End of the World,3.46,Michael Cunningham,3.91,342,14769,Picador,4815,0.23830076923076923
45,54407,"[{'id': 818, 'name': 'based on novel'}, {'id': 10183, 'name': 'independent film'}]",3400000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,1985-10-04,660537.0,112.0,"[{'iso_639_1': 'en', 'name': 'English'}]",5.2,Bliss,3.2,Lynsay Sands,3.97,394,1742,Leisure Books,65998,0.19427558823529412
46,3509,"[{'id': 387, 'name': 'california'}, {'id': 703, 'name': 'detective'}, {'id': 818, 'name': 'based on novel'}, {'id': 1566, 'name': 'dream'}, {'id': 1568, 'name': 'undercover'}, {'id': 2150, 'name': 'cocaine'}, {'id': 2588, 'name': 'brain'}, {'id': 2866, 'name': 'exam'}, {'id': 2964, 'name': 'future'}, {'id': 4394, 'name': 'test'}, {'id': 4565, 'name': 'dystopia'}, {'id': 4967, 'name': 'assignment'}, {'id': 12190, 'name': 'cyberpunk'}, {'id': 14964, 'name': 'drug'}, {'id': 18420, 'name': 'surveillance'}, {'id': 180440, 'name': 'totalitarian'}, {'id': 188950, 'name': 'corporation'}, {'id': 202550, 'name': 'substance'}, {'id': 202551, 'name': 'schizophrenic'}, {'id': 202553, 'name': 'condition'}, {'id': 207268, 'name': 'neo-noir'}]",8700000.0,"[{'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",en,2006-05-25,7659918.0,100.0,"[{'iso_639_1': 'en', 'name': 'English'}]",6.8,A Scanner Darkly,3.61,Philip K. Dick,4.02,219,70604,Gollancz,3581,0.8804503448275862
47,9009,"[{'id': 818, 'name': 'based on novel'}, {'id': 4237, 'name': 'water'}, {'id': 9714, 'name': 'remake'}, {'id': 10508, 'name': 'teacher'}, {'id': 15160, 'name': 'divorce'}, {'id': 33632, 'name': 'apartment'}, {'id': 162846, 'name': 'ghost'}, {'id': 168346, 'name': 'manhattan, new york city'}]",30000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",en,2005-06-27,25473093.0,105.0,"[{'iso_639_1': 'en', 'name': 'English'}]",5.3,Dark Water,2.76,Kōji Suzuki/Glynne Walley,3.61,279,2433,Vertical,382146,0.8491031
48,9388,"[{'id': 494, 'name': 'father son relationship'}, {'id': 592, 'name': 'capitalism'}, {'id': 818, 'name': 'based on novel'}, {'id': 919, 'name': 'smoking'}, {'id': 2251, 'name': 'lie'}, {'id': 3170, 'name': 'cigarette'}, {'id': 3664, 'name': 'research'}, {'id': 3703, 'name': 'law'}, {'id': 3721, 'name': 'health'}, {'id': 3983, 'name': 'marketing'}, {'id': 6078, 'name': 'politics'}, {'id': 6083, 'name': 'politician'}, {'id': 6357, 'name': 'tobacco'}, {'id': 9468, 'name': 'liar'}, {'id': 10123, 'name': 'dark comedy'}, {'id': 10163, 'name': 'cancer'}, {'id': 10183, 'name': 'independent film'}, {'id': 10594, 'name': 'money'}, {'id': 11011, 'name': 'morality'}, {'id': 11514, 'name': 'social satire'}, {'id': 11732, 'name': 'cigarette smoking'}, {'id': 12094, 'name': 'business'}, {'id': 15086, 'name': 'advertising'}, {'id': 33720, 'name': 'guilt'}, {'id': 33740, 'name': 'humiliation'}, {'id': 159350, 'name': 'lobby'}, {'id': 171439, 'name': 'bribe'}, {'id': 188950, 'name': 'corporation'}, {'id': 209121, 'name': 'lung cancer'}, {'id': 219605, 'name': 'lobbyist'}, {'id': 219681, 'name': 'tobacco industry'}, {'id': 219731, 'name': 'nicotine'}]",6500000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",en,2005-09-05,24793509.0,92.0,"[{'iso_639_1': 'en', 'name': 'English'}]",7.1,Thank You for Smoking,3.83,Christopher Buckley,3.93,272,9900,Random House Trade Paperbacks,1596,3.814386
49,591,"[{'id': 90, 'name': 'paris'}, {'id': 113, 'name': 'holy grail'}, {'id': 186, 'name': 'christianity'}, {'id': 345, 'name': 'monk'}, {'id': 818, 'name': 'based on novel'}, {'id': 1222, 'name': 'zurich'}, {'id': 2908, 'name': 'secret society'}, {'id': 2966, 'name': 'louvre'}, {'id': 2969, 'name': 'curator'}, {'id': 2970, 'name': 'symbologist'}, {'id': 2975, 'name': 'opus dei'}, {'id': 2976, 'name': 'heresy'}, {'id': 2978, 'name': 'mona lisa'}, {'id': 4008, 'name': 'freemason'}, {'id': 10410, 'name': 'conspiracy'}, {'id': 11855, 'name': 'pentagram'}, {'id': 156081, 'name': 'tomb'}, {'id': 161207, 'name': 'catholicism'}, {'id': 161507, 'name': 'cryptologist'}, {'id': 161508, 'name': 'iconography'}, {'id': 163531, 'name': 'albino'}, {'id': 173162, 'name': 'sect'}]",125000000.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",en,2006-05-17,767820459.0,149.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'la', 'name': 'Latin'}, {'iso_639_1': 'es', 'name': 'Español'}]",6.5,The Da Vinci Code,3.14,Dan Brown,3.84,467,1120,Broadway Books,1154,6.142563672
50,1259,"[{'id': 572, 'name': 'sex'}, {'id': 596, 'name': 'adultery'}, {'id': 818, 'name': 'based on novel'}, {'id': 977, 'name': 'cat'}, {'id': 1326, 'name': 'infidelity'}, {'id': 1328, 'name': 'secret'}, {'id': 1523, 'name': 'obsession'}, {'id': 1936, 'name': 'blackmail'}, {'id': 2483, 'name': 'nudity'}, {'id': 3182, 'name': 'seduction'}, {'id': 5321, 'name': 'studio'}, {'id': 6054, 'name': 'friendship'}, {'id': 6844, 'name': 'stalker'}, {'id': 9673, 'name': 'love'}, {'id': 9957, 'name': 'loneliness'}, {'id': 10508, 'name': 'teacher'}, {'id': 11937, 'name': 'conservative'}, {'id': 12105, 'name': 'student'}, {'id': 13130, 'name': 'teenager'}, {'id': 14534, 'name': 'relationship'}, {'id': 14893, 'name': 'art'}, {'id': 18051, 'name': 'female stalker'}, {'id': 34094, 'name': 'extramarital affair'}, {'id': 46954, 'name': 'journal'}, {'id': 167310, 'name': 'sitting on a toilet'}]",15000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,2006-12-25,49469904.0,92.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",6.9,Notes on a Scandal,3.73,Zoë Heller,3.71,244,1154,Penguin,9334,3.2979936
